BillNo;Itemname;Quantity;Date;Price;CustomerID;Country
536365;WHITE HANGING HEART T-LIGHT HOLDER;6;01.12.2010 08:26;2,55;17850;United Kingdom
536365;WHITE METAL LANTERN;6;01.12.2010 08:26;3,39;17850;United Kingdom
536365;CREAM CUPID HEARTS COAT HANGER;8;01.12.2010 08:26;2,75;17850;United Kingdom
536365;KNITTED UNION FLAG HOT WATER BOTTLE;6;01.12.2010 08:26;3,39;17850;United Kingdom
536365;RED WOOLLY HOTTIE WHITE HEART.;6;01.12.2010 08:26;3,39;17850;United Kingdom
536365;SET 7 BABUSHKA NESTING BOXES;2;01.12.2010 08:26;7,65;17850;United Kingdom
536365;GLASS STAR FROSTED T-LIGHT HOLDER;6;01.12.2010 08:26;4,25;17850;United Kingdom
536366;HAND WARMER UNION JACK;6;01.12.2010 08:28;1,85;17850;United Kingdom
536366;HAND WARMER RED POLKA DOT;6;01.12.2010 08:28;1,85;17850;United Kingdom
536367;ASSORTED COLOUR BIRD ORNAMENT;32;01.12.2010 08:34;1,69;13047;United Kingdom
536367;POPPY'S PLAYHOUSE BEDROOM;6;01.12.2010 08:34;2,1;13047;United Kingdom
536367;POPPY'S PLAYHOUSE KITCHEN;6;01.12.2010 08:34;2,1;13047;United Kingdom
536367;FELTCRAFT PRINCESS CHARLOTTE DOLL;8;01.12.2010 08:34;3,75;13047;United Kingdom
536367;IVORY KNITTED MUG COSY;6;01.12.2010 08:34;1,65;13047;United Kingdom
536367;BOX OF 6 ASSORTED COLOUR TEASPOONS;6;01.12.2010 08:34;4,25;13047;United Kingdom
536367;BOX OF VINTAGE JIGSAW BLOCKS;3;01.12.2010 08:34;4,95;13047;United Kingdom
536367;BOX OF VINTAGE ALPHABET BLOCKS;2;01.12.2010 08:34;9,95;13047;United Kingdom
536367;HOME BUILDING BLOCK WORD;3;01.12.2010 08:34;5,95;13047;United Kingdom
536367;LOVE BUILDING BLOCK WORD;3;01.12.2010 08:34;5,95;13047;United Kingdom
536367;RECIPE BOX WITH METAL HEART;4;01.12.2010 08:34;7,95;13047;United Kingdom
536367;DOORMAT NEW ENGLAND;4;01.12.2010 08:34;7,95;13047;United Kingdom
536368;JAM MAKING SET WITH JARS;6;01.12.2010 08:34;4,25;13047;United Kingdom
536368;RED COAT RACK PARIS FASHION;3;01.12.2010 08:34;4,95;13047;United Kingdom
536368;YELLOW COAT RACK PARIS FASHION;3;01.12.2010 08:34;4,95;13047;United Kingdom
